A,B,C,D,E,F,G,H,I,J,K
20220101,88,5,2,4,1,1,4,2,2,楽しい1日だった
20220102,66,3,4,2,5,3,2,1,2,特に何もない日だった
20220103,77,3,4,5,4,3,2,3,2,筋トレができた
20220104,86,4,4,3,5,2,3,5,2,ディズニー最高
20220105,99,4,4,2,5,5,2,2,4,勉強が楽しい
20220106,45,5,4,4,2,5,2,4,4,数学ができない
20220107,74,3,3,2,4,4,2,4,5,プログラミングを始めてみた
20220108,43,1,5,3,4,3,5,3,2,退屈な日だった
20220109,77,3,4,3,2,5,2,3,3,たくさん思考をすることができた
20220110,74,5,3,2,4,3,2,4,3,人に勉強を教えた
20220111,76,3,1,4,2,3,2,3,2,テストでいい点が取れた
20220112
20220113
20220202	43	5	3	4	3	4	3	1	3
20220203	46	2	5	4	3	3	5	3	5
20220204	42	1	1	4	2	3	3	3	5
20220205	41	3	1	4	1	1	1	3	3
20220206	76	2	4	3	3	2	5	1	3
20220207	45	2	4	5	3	1	5	1	2
20220208	97	5	5	1	3	5	5	5	4
20220209	80	2	4	3	2	4	4	1	5
20220210	43	3	5	1	2	2	5	2	4
20220211	99	2	3	3	2	1	4	4	1
20220212	89	1	1	4	5	5	1	4	2
20220213	90	4	2	4	5	1	5	2	4
20220214	62	3	4	2	4	1	5	2	5
20220215	39	1	3	5	4	2	4	4	1
20220216	77	1	3	1	1	2	5	1	1
20220217	66	2	3	4	4	3	3	1	5
20220218	47	1	1	5	4	2	3	4	1
20220219	94	5	1	3	3	3	4	2	2
20220220	81	2	5	3	4	3	5	5	2
20220221	70	2	5	4	2	4	3	1	2
20220222	38	2	1	2	1	5	5	5	5
20220223	35	5	2	3	5	4	5	5	4
20220224	65	1	3	3	5	5	4	3	1
20220225	62	2	3	5	1	5	2	2	5
20220226	45	4	3	5	5	1	2	2	1
20220227	37	1	5	3	3	2	3	3	2
20220228	80	2	1	5	4	5	4	3	1
